Date,Patient_Inflow,Outpatients,Emergency_Cases,Bed_Occupancy_Rate,Staff_on_Duty,Daily_Revenue,Medicine_Expenses,Surgery_Count,Operating_Theater_Utilization,Patient_Satisfaction_Score,Month
24-01-2023,116,79,33,89.53698931,51,23641.59254,10601.68183,21,59.12941454,4.969716806,Jan
25-01-2023,132,101,26,73.19779091,58,38450.38904,14368.22462,16,59.8641454,4.508496519,Jan
26-01-2023,113,72,41,89.73535914,50,43239.01342,5522.578793,16,69.36308279,3.786390402,Jan
27-01-2023,106,83,24,99.98241177,60,39317.12761,9187.933191,12,79.89777626,4.181275668,Jan
28-01-2023,129,67,39,71.44636117,52,35909.064,7601.57791,9,68.95239314,4.322028508,Jan
29-01-2023,127,80,33,99.31522553,69,21258.5367,12308.20965,15,52.31377798,3.156911633,Jan
30-01-2023,129,80,41,82.20723882,53,49054.66333,14812.9709,24,88.31159204,4.088993918,Jan
31-01-2023,115,81,27,96.12260351,67,43961.42575,7565.300624,18,87.70897276,4.418641657,Jan
01-02-2023,134,92,25,93.47156452,55,28784.6611,11541.74601,17,81.40758173,3.334642608,Feb
02-02-2023,114,68,20,87.01048783,52,49399.10988,6980.976328,12,89.65311606,4.561263435,Feb
03-02-2023,114,87,27,92.15347628,60,38056.44769,10653.30255,15,71.77929331,4.167545561,Feb
04-02-2023,128,85,19,96.35546684,64,37472.67975,9639.324867,10,88.51073401,4.904443571,Feb
05-02-2023,136,69,31,82.12420965,54,42442.19538,14720.0533,27,53.02420162,3.084844596,Feb
06-02-2023,105,76,27,79.81099485,69,44353.09364,11085.27273,15,64.62722993,3.530652275,Feb
07-02-2023,129,77,38,90.02780157,59,39694.35822,8495.063721,16,59.01525072,4.203107759,Feb
08-02-2023,129,94,25,94.23537826,61,23842.87239,6140.957849,11,57.83332337,3.593119824,Feb
09-02-2023,121,80,37,92.86855404,64,30148.02518,6512.468287,11,55.63211796,4.428848328,Feb
10-02-2023,114,77,37,93.93440947,66,47842.50921,7253.1693,9,74.89654566,4.518010565,Feb
11-02-2023,137,80,41,83.06749944,59,26738.46836,7509.666613,19,81.25287423,3.205031928,Feb
12-02-2023,117,79,35,94.53502649,55,31165.01072,13506.16058,15,73.13193598,4.027708928,Feb
13-02-2023,111,80,30,73.60627166,67,32962.30649,10612.22788,22,55.87850838,4.017781111,Feb
14-02-2023,113,83,35,86.33467294,62,33182.14969,10233.90911,9,82.4449508,3.73856154,Feb
15-02-2023,140,64,29,70.17275981,52,38388.18747,6147.688719,9,75.43818829,4.865849725,Feb
16-02-2023,124,68,25,79.7375749,59,48292.27513,13601.39693,15,65.52662825,4.65501264,Feb
17-02-2023,131,69,28,80.99384605,63,27220.78135,12228.14303,15,76.96521182,4.394418764,Feb
18-02-2023,136,71,26,81.88518075,55,23645.04129,5676.683619,12,60.39619917,4.428653271,Feb
19-02-2023,114,93,16,90.8640162,52,25924.1147,12078.35097,14,63.80768834,3.923432288,Feb
20-02-2023,111,84,28,81.65674304,65,46607.74701,10435.38217,21,86.69943373,4.841989042,Feb
21-02-2023,131,71,35,83.46080868,56,39374.32438,5817.253457,16,61.62018023,4.389190855,Feb
22-02-2023,117,70,29,77.12632393,69,28577.20368,9583.006415,19,68.79953073,4.457962123,Feb
23-02-2023,105,70,41,81.19755375,63,44478.40817,9846.962871,17,85.6056455,4.723381808,Feb
24-02-2023,143,68,32,76.81808882,58,45841.09989,6657.745402,12,78.30885401,3.548143179,Feb
25-02-2023,121,72,41,72.19587771,64,45395.43016,14456.98147,16,52.48812905,4.614141808,Feb
26-02-2023,116,80,32,88.1034578,52,47567.79601,13499.75371,9,55.89212177,3.390481206,Feb
27-02-2023,149,83,25,90.04638396,51,27567.23061,11690.22337,14,50.31366363,3.690683904,Feb
28-02-2023,120,62,25,88.58471038,51,42651.25786,9622.95561,10,75.23687161,3.671220909,Feb
01-03-2023,113,89,35,83.90482131,52,33816.18492,9117.655416,18,67.90693702,4.957050937,Mar
02-03-2023,123,71,28,81.39357341,67,45259.95659,11509.73467,8,55.37099404,4.713074447,Mar
03-03-2023,96,77,33,95.90000949,63,41854.72031,10454.31869,23,88.31736484,4.402339723,Mar
04-03-2023,137,83,36,85.57245355,69,43293.42339,5622.731059,17,71.18638896,4.454113523,Mar
05-03-2023,107,79,25,84.37545633,67,39684.85513,10125.02649,16,59.67573176,4.124145589,Mar
06-03-2023,126,56,31,70.76926197,59,25322.86308,13064.03617,16,70.02414285,4.894181334,Mar
07-03-2023,111,80,26,80.23743483,51,36350.80757,9592.398776,18,77.18481331,3.992517506,Mar
08-03-2023,116,67,33,81.40586856,50,49540.09219,5519.565776,21,53.04956872,3.76103542,Mar
09-03-2023,124,81,21,81.96468343,53,48121.64199,12862.78199,15,60.9881526,3.326070674,Mar
10-03-2023,102,74,28,87.40517108,63,21295.21207,7013.637821,12,82.27861964,4.572411305,Mar
11-03-2023,114,72,34,86.0080764,50,24944.44447,7586.208349,16,68.38659482,4.468887864,Mar
12-03-2023,126,68,21,88.23715278,63,23951.8632,6647.063534,10,71.86308568,3.768710077,Mar
13-03-2023,120,82,33,92.94649785,65,41779.3973,8302.150649,13,67.31264009,3.050386828,Mar
14-03-2023,125,88,37,94.38957216,63,44533.5599,12567.51506,17,51.75599771,4.677994655,Mar
15-03-2023,126,65,30,91.54369229,69,26405.34099,10193.8586,17,56.62999119,3.022835967,Mar
16-03-2023,141,82,36,98.66571088,52,35175.58079,7048.812742,13,67.82166555,4.407399559,Mar
17-03-2023,115,78,33,70.54697748,52,45221.09084,13778.30078,14,58.36741862,4.940514219,Mar
18-03-2023,139,74,26,75.87333957,58,41984.04634,13795.81855,21,51.99916115,3.875322656,Mar
19-03-2023,112,84,35,70.22688625,55,36267.11616,13705.78425,13,83.74598656,3.46994681,Mar
20-03-2023,131,83,33,89.42424142,62,37710.43071,7387.962114,13,89.24770117,4.40974202,Mar
21-03-2023,121,66,33,96.94091647,51,35250.81641,9512.393442,17,81.72571496,4.634256284,Mar
22-03-2023,103,73,32,77.3044689,57,28926.45354,14849.89656,13,84.15139687,4.092860632,Mar
23-03-2023,137,71,24,97.81103634,51,36950.65979,12720.12476,14,59.67908521,4.934070551,Mar
24-03-2023,115,65,37,71.80802171,53,40666.55906,5271.674212,21,88.42507902,3.103337443,Mar
25-03-2023,127,78,36,98.0330808,64,46199.68748,5652.045913,10,57.87702818,4.009591197,Mar
26-03-2023,135,67,27,80.54868062,53,39088.74062,9639.313768,17,88.05719241,4.436907895,Mar
27-03-2023,125,89,24,73.04262485,62,42833.64611,14092.20206,13,89.79277176,4.725280942,Mar
28-03-2023,108,70,36,84.57615278,61,24802.14905,10387.01798,14,78.46891223,3.358511224,Mar
29-03-2023,123,96,32,77.70329703,62,33846.72423,9978.12508,17,89.24574927,4.600006964,Mar
30-03-2023,103,82,32,78.54618706,63,20279.94859,6054.737,13,72.78159118,4.105414151,Mar
31-03-2023,121,88,35,79.21869895,69,27400.36594,11567.80105,17,60.38167133,3.793107364,Mar
01-04-2023,125,75,34,94.09077693,67,41793.85145,13221.03161,15,67.47983543,3.263430057,Apr
02-04-2023,127,80,44,86.1748383,55,49754.29854,8804.200075,14,73.74243742,4.730591518,Apr
03-04-2023,114,67,22,79.33923097,60,22975.34299,12756.11851,10,52.92326248,3.314546416,Apr
04-04-2023,125,74,33,88.3100135,51,32044.82948,14644.76654,18,74.89373058,3.619575718,Apr
05-04-2023,125,69,27,91.48452023,68,44002.12906,7037.664591,13,89.24711347,3.580091064,Apr
06-04-2023,103,81,20,78.17872002,68,26121.06904,10233.29631,16,57.60430599,4.742828068,Apr
07-04-2023,112,76,27,82.40647305,54,36652.54848,7871.379581,25,81.70380465,4.345405988,Apr
08-04-2023,136,75,34,73.6565828,68,41992.13888,12928.54419,14,86.31595175,4.593362794,Apr
09-04-2023,130,73,34,75.43448049,51,38479.56351,10775.93366,15,87.74806371,3.500935798,Apr
10-04-2023,122,87,30,90.43353562,59,25640.74204,11345.82418,16,88.40542418,4.249748199,Apr
11-04-2023,109,79,33,75.44315043,51,30661.53706,12979.1416,14,70.85838555,4.143491966,Apr
12-04-2023,113,76,29,85.75490151,60,43513.75353,8959.704727,12,89.09231632,4.665660754,Apr
13-04-2023,125,68,24,91.27138785,67,36626.79542,14150.90068,7,80.29240829,4.812174121,Apr
14-04-2023,138,98,33,73.20630769,64,20156.88841,10330.28867,16,56.46685745,3.024313543,Apr
15-04-2023,118,63,21,87.01936659,58,42829.7228,6579.548228,16,69.07600426,4.348039838,Apr
16-04-2023,113,82,32,77.69688351,68,21059.34065,11958.99118,14,78.73324701,3.103671598,Apr
17-04-2023,133,69,42,98.88780626,58,42372.01348,12932.6135,15,59.89361263,4.09771733,Apr
18-04-2023,108,71,29,84.5063694,52,26074.4168,8167.616771,16,75.62460734,3.575265458,Apr
19-04-2023,141,70,29,94.17977649,58,48742.2044,13571.79257,16,76.66401916,3.613553199,Apr
20-04-2023,122,84,28,86.50679626,63,31038.22254,14061.43255,14,56.50798975,3.705917007,Apr
21-04-2023,106,76,38,71.30237599,68,29807.94849,7769.044874,15,72.6034125,4.242584898,Apr
22-04-2023,135,77,25,88.99454127,56,24466.64151,14835.21473,21,80.86507644,3.668099931,Apr
23-04-2023,126,78,32,98.54210027,65,29168.12646,6407.11528,15,69.95582658,4.465398101,Apr
24-04-2023,115,79,37,88.0483546,65,46299.52285,7020.156684,10,50.48412467,3.809054771,Apr
25-04-2023,131,87,46,94.57566578,50,49890.03013,6842.248392,10,50.36153876,3.136706401,Apr
26-04-2023,120,77,37,96.5261939,53,31049.28592,13939.8971,23,64.28117376,4.567519685,Apr
27-04-2023,130,94,34,76.84239316,53,33458.31893,11542.92552,15,87.04776274,3.571516649,Apr
28-04-2023,127,83,23,76.3613452,56,41662.12815,6521.042832,16,59.14707118,3.865533759,Apr
29-04-2023,136,69,39,88.32942967,57,46585.87341,9403.234184,12,75.37454755,4.370887766,Apr
30-04-2023,116,83,35,82.33085409,66,37791.33003,11152.98025,18,58.88303483,3.664912314,Apr
01-05-2023,122,93,22,95.19583909,54,31745.77095,5834.64085,15,62.86679959,3.113171312,May
02-05-2023,119,69,33,97.0006937,56,32378.65523,13824.16368,16,83.92168358,3.747842094,May
03-05-2023,113,73,25,80.60264138,69,40868.54439,13036.03535,19,79.15445769,4.888897165,May
04-05-2023,86,87,19,77.10611677,69,20096.54791,10052.06774,11,53.81597109,4.283468795,May
05-05-2023,132,76,26,93.41576546,53,38587.68012,14671.26615,20,67.14808084,4.342958297,May
06-05-2023,105,67,27,78.24418107,55,30664.79031,9177.609793,14,51.16679055,4.264564307,May
07-05-2023,129,68,28,94.67842956,56,43825.91994,14841.10319,17,69.23560586,3.397984278,May
08-05-2023,124,88,32,82.71214761,67,22789.71919,11679.19999,17,76.49736047,3.836667728,May
09-05-2023,96,72,33,90.02649698,54,37646.06801,11346.71273,12,54.74010494,4.501879597,May
10-05-2023,121,86,35,72.86605942,69,34429.1867,6659.548953,19,61.55539756,3.202745795,May
11-05-2023,120,85,30,88.71577974,52,39269.76578,13819.27758,17,65.91346502,3.555705552,May
12-05-2023,130,73,23,83.55303036,56,21945.60783,9274.896879,12,86.78124099,3.552638217,May
13-05-2023,118,71,32,87.5982539,63,37399.51362,6622.334058,18,89.73020062,3.864037855,May
14-05-2023,132,82,31,75.04042623,56,36844.53764,5126.0752,18,51.79645196,4.960737482,May
15-05-2023,117,79,27,92.10621235,54,36819.80283,10597.55684,17,80.44031694,3.135005093,May
16-05-2023,107,69,21,95.88391233,54,38104.63,10273.99622,20,64.86896266,4.037401989,May
17-05-2023,121,80,14,76.502194,51,40294.03812,12193.53622,9,65.69832745,3.358729364,May
18-05-2023,125,97,28,72.87143667,55,44149.66999,13902.58053,8,80.17059893,4.941353091,May
19-05-2023,122,86,31,70.70915758,64,28094.6216,5794.065846,14,86.73705729,3.226607009,May
20-05-2023,117,82,35,89.25914501,59,44751.48231,12314.9649,13,88.03714378,3.807202005,May
21-05-2023,115,78,24,88.21282108,56,34947.67047,6874.119441,15,73.08490344,4.47576997,May
22-05-2023,94,79,32,86.40092238,54,22311.74837,13581.77053,8,64.28484637,4.409108856,May
23-05-2023,133,92,18,76.95841288,50,21756.52788,13190.63514,6,81.50196343,3.845457274,May
24-05-2023,119,82,33,81.72717988,62,30027.14956,10407.93755,14,60.04005533,3.693048336,May
25-05-2023,120,61,34,87.83429006,67,43546.90931,12102.42799,12,72.56296115,3.795224757,May
26-05-2023,108,89,27,84.90300577,62,41230.42804,8143.501132,14,64.34313846,3.528552526,May
27-05-2023,117,75,31,99.63356561,67,43658.44894,9711.678989,13,76.26524295,3.410665877,May
28-05-2023,124,81,29,74.09319258,54,35518.07169,13216.36898,11,59.61595652,3.966079395,May
29-05-2023,116,76,30,90.85433662,62,33205.96994,9592.651972,13,57.66371783,3.537067512,May
30-05-2023,120,86,21,82.12956304,53,24423.5758,8577.982653,10,86.72956347,3.57492333,May
31-05-2023,125,72,26,82.84598845,66,29845.78261,9942.124473,15,54.07214732,4.313512127,May
01-06-2023,100,69,37,91.52793297,52,33020.58099,13282.49252,16,70.23831631,4.937074663,Jun
02-06-2023,142,80,24,90.77308454,66,22658.01289,8352.080474,8,58.83411132,4.207274401,Jun
03-06-2023,116,95,33,99.73767981,60,26618.35858,6737.615931,12,51.55719853,3.153958934,Jun
04-06-2023,119,82,31,73.85182868,69,37946.75882,12120.1402,16,51.44075273,3.151167228,Jun
05-06-2023,142,69,25,73.12328948,53,42069.89343,13259.78213,10,57.00887088,4.902846442,Jun
06-06-2023,109,80,20,91.73016451,51,49950.42534,6006.374785,12,84.67081418,3.594581581,Jun
07-06-2023,103,63,26,87.35160751,69,47993.39994,7398.741128,12,61.29914976,3.184133972,Jun
08-06-2023,103,72,37,78.22482,65,39276.95599,6419.719898,16,88.01836682,4.198089174,Jun
09-06-2023,100,71,34,72.38258107,67,32637.4416,8479.414116,18,73.26489172,4.247297557,Jun
10-06-2023,133,82,27,72.56974749,57,39085.32094,9503.509789,6,67.46456759,4.29700964,Jun
11-06-2023,131,88,37,96.82572624,52,43569.54854,12488.26337,17,73.20355339,3.534804056,Jun
12-06-2023,105,81,29,75.75601974,58,23550.08573,11511.47585,19,70.66793541,3.030221368,Jun
13-06-2023,124,77,30,79.70114686,69,32297.14669,11209.28567,12,80.35105015,4.930030739,Jun
14-06-2023,128,69,38,76.79969207,55,45194.06857,8523.749466,13,61.29984264,3.501786091,Jun
15-06-2023,113,77,26,80.64988917,59,31514.98856,13414.47553,13,64.12201566,4.352052576,Jun
16-06-2023,128,84,39,72.08271528,59,37156.16814,9712.871674,20,85.7637721,4.41325974,Jun
17-06-2023,116,86,32,85.57179373,62,37633.08083,14791.04938,14,87.85826053,4.220014834,Jun
18-06-2023,115,72,34,72.02837691,66,25534.28759,11341.42138,9,85.7023291,3.625814788,Jun
19-06-2023,133,89,24,94.01069523,58,30867.06325,6262.647416,15,66.77791976,3.542192508,Jun
20-06-2023,128,84,47,77.01136246,66,30035.33866,11761.77562,17,81.21462012,4.195336565,Jun
21-06-2023,104,66,37,86.20035744,58,20785.90126,8251.040154,18,69.05342933,4.732191267,Jun
22-06-2023,120,86,26,96.40237263,58,20725.75292,11863.27197,12,69.90159409,4.893467458,Jun
23-06-2023,114,90,29,89.52632107,50,44950.91131,5696.411482,18,58.18720436,3.211811609,Jun
24-06-2023,116,84,28,85.9887336,51,28192.1243,6748.814372,6,73.64521213,3.309657225,Jun
25-06-2023,137,74,24,79.73001259,65,35542.36299,13557.37259,24,57.44543591,4.889472518,Jun
26-06-2023,114,72,46,79.99005739,50,28961.76721,7271.79557,14,63.26258796,4.473070457,Jun
27-06-2023,145,71,33,90.08460866,59,48220.37735,13370.41125,11,84.20120806,4.76598765,Jun
28-06-2023,124,78,35,99.82418084,67,27778.90277,7792.760885,13,58.28303237,3.405265268,Jun
29-06-2023,113,89,25,89.8551757,57,32889.70438,11428.8191,18,52.84633141,4.175171742,Jun
30-06-2023,126,73,24,86.73350252,60,46181.90751,11941.50574,11,52.7603037,4.402279189,Jun
01-07-2023,130,82,27,91.91951531,51,45258.007,10126.54753,15,87.63138082,4.360223771,Jul
02-07-2023,102,83,29,83.95616837,57,25583.04254,8053.106767,11,70.27681752,3.816303382,Jul
03-07-2023,97,81,32,71.80427028,57,44079.29929,7126.443764,16,66.37648287,3.030789783,Jul
04-07-2023,118,87,24,86.86890448,66,33745.6066,5331.893546,10,82.43514324,4.165852114,Jul
05-07-2023,115,92,33,98.72875854,64,34489.06616,8039.464012,18,83.43303712,3.506203078,Jul
06-07-2023,106,93,36,75.25908827,66,24004.39917,11531.62791,17,63.28764132,3.900508492,Jul
07-07-2023,124,78,31,90.70014672,62,22418.04541,14383.04818,18,77.7447223,4.91516203,Jul
08-07-2023,102,74,25,76.02801066,68,41838.17921,13712.04482,21,80.84491263,3.798070635,Jul
09-07-2023,100,83,26,86.07483053,54,34893.83457,12660.64777,13,76.18602747,4.679603213,Jul
10-07-2023,127,69,30,72.90029349,61,33105.52108,12884.47343,9,56.06380299,3.377081211,Jul
11-07-2023,116,70,16,83.51112809,50,41885.24686,11649.84903,12,85.03532334,4.344920996,Jul
12-07-2023,116,68,29,92.68489987,54,42965.38697,7602.868576,13,71.56378211,4.954013909,Jul
13-07-2023,129,74,27,80.42714573,57,24767.24503,14071.95031,10,61.29889705,3.203786202,Jul
14-07-2023,118,84,16,89.94735173,62,38306.75448,11707.32312,15,67.00912742,3.016639884,Jul
15-07-2023,104,72,32,93.86349882,57,24060.62247,10604.40631,15,51.50284362,3.867165585,Jul
16-07-2023,97,69,29,97.81533458,60,42541.25258,6109.894692,25,55.11467205,3.185250966,Jul
17-07-2023,105,92,30,77.03926246,50,39708.65469,9470.555438,17,80.62187002,4.496768699,Jul
18-07-2023,128,83,23,81.97947747,62,48698.43863,9603.582712,18,50.00046539,4.829097328,Jul
19-07-2023,149,78,27,74.5724804,68,22068.74049,13645.6361,10,66.66263314,3.868041945,Jul
